model,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/qrdqn_1e6.zip,0,0,145.80,63,76,13,0,20.39,15,31.20
models/qrdqn_1e6.zip,0,1,14.40,46,52,6,0,21.54,59,118.80
models/qrdqn_1e6.zip,0,2,-0.80,42,49,7,0,18.78,58,122.00
models/qrdqn_1e6.zip,0,3,-46.50,42,57,15,0,25.61,76,168.60
models/qrdqn_1e6.zip,0,4,154.50,64,81,16,0,19.38,13,25.80
models/qrdqn_1e6.zip,1,0,-107.00,29,57,28,0,38.07,90,192.80
models/qrdqn_1e6.zip,1,1,-65.20,41,54,12,0,25.56,82,182.80
models/qrdqn_1e6.zip,1,2,-83.10,38,55,16,0,25.27,84,191.40
models/qrdqn_1e6.zip,1,3,-12.30,38,57,17,0,27.54,57,121.80
models/qrdqn_1e6.zip,1,4,71.40,39,55,16,0,27.64,24,48.00
models/qrdqn_1e6.zip,2,0,-75.80,32,51,18,0,32.55,76,168.80
models/qrdqn_1e6.zip,2,1,110.60,61,68,7,0,17.06,30,59.20
models/qrdqn_1e6.zip,2,2,64.20,47,57,9,0,17.89,32,64.80
models/qrdqn_1e6.zip,2,3,75.60,52,62,10,0,18.71,33,66.00
models/qrdqn_1e6.zip,2,4,79.20,48,60,12,0,22.33,32,61.20
models/qrdqn_1e6.zip,3,0,138.00,63,70,7,0,19.71,17,37.20
models/qrdqn_1e6.zip,3,1,-103.10,32,44,11,0,25.68,96,201.80
models/qrdqn_1e6.zip,3,2,63.90,52,58,6,0,16.90,44,84.60
models/qrdqn_1e6.zip,3,3,26.70,51,58,6,0,17.41,55,115.80
models/qrdqn_1e6.zip,3,4,149.50,64,73,9,0,19.32,13,27.80
models/qrdqn_1e6.zip,4,0,119.50,55,69,13,0,21.16,16,30.20
models/qrdqn_1e6.zip,4,1,-30.90,38,49,11,0,23.06,65,137.40
models/qrdqn_1e6.zip,4,2,-20.90,44,50,6,0,19.20,70,147.80
models/qrdqn_1e6.zip,4,3,-2.80,41,56,15,0,25.71,62,125.20
models/qrdqn_1e6.zip,4,4,93.00,60,77,17,0,22.08,35,76.80
models/qrdqn_1e6.zip,5,0,69.90,41,54,13,0,21.85,22,43.80
models/qrdqn_1e6.zip,5,1,104.20,51,64,13,0,21.88,16,34.40
models/qrdqn_1e6.zip,5,2,-86.80,34,53,19,0,29.43,84,185.20
models/qrdqn_1e6.zip,5,3,80.90,48,55,7,0,18.91,24,53.80
models/qrdqn_1e6.zip,5,4,-4.80,41,51,10,0,21.76,60,126.00
models/qrdqn_1e6.zip,6,0,65.10,56,65,9,0,21.54,40,89.40
models/qrdqn_1e6.zip,6,1,125.70,50,66,16,0,24.24,7,16.20
models/qrdqn_1e6.zip,6,2,108.70,52,60,8,0,18.83,18,35.00
models/qrdqn_1e6.zip,6,3,111.80,52,60,8,0,19.17,17,35.20
models/qrdqn_1e6.zip,6,4,25.80,43,60,17,0,25.67,42,91.20
models/qrdqn_1e6.zip,7,0,19.80,42,66,22,0,26.52,47,96.00
models/qrdqn_1e6.zip,7,1,-64.90,41,57,16,0,28.60,80,177.40
models/qrdqn_1e6.zip,7,2,-9.40,35,56,21,0,25.89,56,114.40
models/qrdqn_1e6.zip,7,3,40.00,52,65,12,0,23.23,48,105.20
models/qrdqn_1e6.zip,7,4,109.20,55,67,12,0,20.60,25,49.20
models/qrdqn_1e6.zip,8,0,-41.70,38,51,13,0,28.63,65,149.40
models/qrdqn_1e6.zip,8,1,137.70,57,73,16,0,22.47,10,21.00
models/qrdqn_1e6.zip,8,2,16.80,52,62,9,0,20.16,55,123.60
models/qrdqn_1e6.zip,8,3,-49.00,45,63,18,0,21.75,83,184.00
models/qrdqn_1e6.zip,8,4,125.20,59,70,11,0,22.14,16,33.20
models/qrdqn_1e6.zip,9,0,32.00,46,71,24,0,28.03,46,98.80
models/qrdqn_1e6.zip,9,1,106.50,53,66,13,0,22.73,24,45.00
models/qrdqn_1e6.zip,9,2,78.00,41,58,16,0,24.14,19,39.60
models/qrdqn_1e6.zip,9,3,-86.80,38,53,15,0,24.15,88,197.20
models/qrdqn_1e6.zip,9,4,107.40,48,66,18,0,26.97,16,33.60
models/qrdqn_1e6.zip,10,0,-101.40,36,47,11,0,21.70,95,208.80
models/qrdqn_1e6.zip,10,1,-52.20,55,72,15,0,21.67,91,204.00
models/qrdqn_1e6.zip,10,2,-67.70,37,48,11,0,23.33,76,171.80
models/qrdqn_1e6.zip,10,3,126.60,61,77,15,0,22.60,24,45.60
models/qrdqn_1e6.zip,10,4,77.40,46,57,11,0,20.70,23,50.40
models/qrdqn_1e6.zip,11,0,-22.30,46,62,15,0,25.81,70,152.20
models/qrdqn_1e6.zip,11,1,-96.20,36,49,13,0,30.00,87,195.20
models/qrdqn_1e6.zip,11,2,124.50,58,64,6,0,16.88,19,37.80
models/qrdqn_1e6.zip,11,3,75.20,60,66,6,0,18.18,45,94.00
models/qrdqn_1e6.zip,11,4,106.20,50,67,17,0,22.24,16,33.60
models/qrdqn_1e6.zip,12,0,-68.00,46,56,10,0,19.11,89,196.40
models/qrdqn_1e6.zip,12,1,42.60,51,67,16,0,23.28,49,105.60
models/qrdqn_1e6.zip,12,2,-63.20,43,53,9,0,24.91,82,184.40
models/qrdqn_1e6.zip,12,3,-85.80,31,45,13,0,27.56,76,175.20
models/qrdqn_1e6.zip,12,4,135.00,55,67,12,0,22.09,7,16.80
models/qrdqn_1e6.zip,13,0,123.30,50,66,16,0,25.45,17,33.00
models/qrdqn_1e6.zip,13,1,-112.80,33,42,9,0,25.95,94,210.00
models/qrdqn_1e6.zip,13,2,68.70,55,65,10,0,18.31,45,84.60
models/qrdqn_1e6.zip,13,3,88.70,49,65,16,0,27.23,23,45.40
models/qrdqn_1e6.zip,13,4,-59.70,52,60,8,0,16.67,88,199.80
models/qrdqn_1e6.zip,14,0,-76.50,40,59,18,0,26.27,85,190.20
models/qrdqn_1e6.zip,14,1,36.90,53,68,15,0,21.47,50,109.80
models/qrdqn_1e6.zip,14,2,-71.30,31,50,19,0,30.40,74,162.20
models/qrdqn_1e6.zip,14,3,27.30,54,66,12,0,22.58,53,117.00
models/qrdqn_1e6.zip,14,4,84.60,42,61,18,0,29.18,16,36.00
models/qrdqn_1e6.zip,15,0,-116.30,27,54,27,0,33.33,85,189.80
models/qrdqn_1e6.zip,15,1,41.70,50,64,14,0,24.84,43,95.40
models/qrdqn_1e6.zip,15,2,22.70,47,55,8,0,18.91,56,112.60
models/qrdqn_1e6.zip,15,3,-72.80,36,55,19,0,30.73,84,179.60
models/qrdqn_1e6.zip,15,4,59.00,46,54,8,0,23.15,35,76.00
models/qrdqn_1e6.zip,16,0,65.60,49,57,8,0,16.14,41,74.80
models/qrdqn_1e6.zip,16,1,90.10,57,62,4,0,16.77,34,67.40
models/qrdqn_1e6.zip,16,2,64.90,46,50,4,0,14.40,31,60.20
models/qrdqn_1e6.zip,16,3,-66.10,47,56,9,0,23.39,88,196.60
models/qrdqn_1e6.zip,16,4,120.90,55,74,19,0,23.38,18,37.80
models/qrdqn_1e6.zip,17,0,29.70,34,49,15,0,26.53,36,69.00
models/qrdqn_1e6.zip,17,1,-20.60,47,66,19,0,23.48,68,152.00
models/qrdqn_1e6.zip,17,2,78.70,56,70,14,0,21.86,39,75.80
models/qrdqn_1e6.zip,17,3,130.90,53,60,7,0,17.17,9,19.40
models/qrdqn_1e6.zip,17,4,28.20,48,71,23,0,27.89,49,105.60
models/qrdqn_1e6.zip,18,0,72.50,49,57,8,0,19.65,36,65.80
models/qrdqn_1e6.zip,18,1,97.00,48,53,5,0,16.60,20,39.20
models/qrdqn_1e6.zip,18,2,127.40,61,74,13,0,19.73,21,42.40
models/qrdqn_1e6.zip,18,3,-127.10,28,40,12,0,27.25,98,211.40
models/qrdqn_1e6.zip,18,4,139.50,60,71,11,0,19.30,17,29.40
models/qrdqn_1e6.zip,19,0,-117.60,32,51,18,0,27.25,99,212.40
models/qrdqn_1e6.zip,19,1,93.50,56,62,6,0,15.81,30,59.80
models/qrdqn_1e6.zip,19,2,103.60,52,58,6,0,16.38,22,42.80
models/qrdqn_1e6.zip,19,3,-89.50,37,52,15,0,29.04,91,197.80
models/qrdqn_1e6.zip,19,4,29.10,49,58,9,0,19.66,49,108.60
